schedule,threads,rep,primos,tempo
static,1,1,1270607,6.437000
static,1,2,1270607,6.875000
static,1,3,1270607,6.924000
static,1,4,1270607,6.919000
static,1,5,1270607,6.908000
static,1,6,1270607,6.704000
static,1,7,1270607,6.843000
static,1,8,1270607,6.384000
static,1,9,1270607,6.335000
static,1,10,1270607,6.382000
static,2,1,1270607,3.229000
static,2,2,1270607,3.242000
static,2,3,1270607,3.230000
static,2,4,1270607,3.327000
static,2,5,1270607,3.190000
static,2,6,1270607,3.243000
static,2,7,1270607,3.250000
static,2,8,1270607,3.215000
static,2,9,1270607,3.201000
static,2,10,1270607,3.263000
static,4,1,1270607,1.778000
static,4,2,1270607,1.896000
static,4,3,1270607,1.832000
static,4,4,1270607,1.745000
static,4,5,1270607,1.859000
static,4,6,1270607,1.752000
static,4,7,1270607,1.924000
static,4,8,1270607,2.097000
static,4,9,1270607,1.785000
static,4,10,1270607,1.894000
static,8,1,1270607,1.648000
static,8,2,1270607,1.643000
static,8,3,1270607,1.743000
static,8,4,1270607,1.647000
static,8,5,1270607,1.644000
static,8,6,1270607,1.666000
static,8,7,1270607,1.656000
static,8,8,1270607,1.646000
static,8,9,1270607,1.667000
static,8,10,1270607,1.646000
dynamic,1,1,1270607,6.362000
dynamic,1,2,1270607,6.377000
dynamic,1,3,1270607,6.338000
dynamic,1,4,1270607,6.340000
dynamic,1,5,1270607,6.364000
dynamic,1,6,1270607,6.331000
dynamic,1,7,1270607,6.344000
dynamic,1,8,1270607,6.351000
dynamic,1,9,1270607,6.331000
dynamic,1,10,1270607,6.338000
dynamic,2,1,1270607,3.257000
dynamic,2,2,1270607,3.215000
dynamic,2,3,1270607,3.231000
dynamic,2,4,1270607,3.244000
dynamic,2,5,1270607,3.217000
dynamic,2,6,1270607,3.362000
dynamic,2,7,1270607,3.417000
dynamic,2,8,1270607,3.532000
dynamic,2,9,1270607,3.461000
dynamic,2,10,1270607,3.517000
dynamic,4,1,1270607,2.200000
dynamic,4,2,1270607,1.913000
dynamic,4,3,1270607,1.913000
dynamic,4,4,1270607,1.861000
dynamic,4,5,1270607,1.804000
dynamic,4,6,1270607,1.824000
dynamic,4,7,1270607,1.844000
dynamic,4,8,1270607,1.794000
dynamic,4,9,1270607,1.812000
dynamic,4,10,1270607,1.858000
dynamic,8,1,1270607,1.645000
dynamic,8,2,1270607,1.684000
dynamic,8,3,1270607,1.649000
dynamic,8,4,1270607,1.646000
dynamic,8,5,1270607,1.654000
dynamic,8,6,1270607,1.679000
dynamic,8,7,1270607,1.646000
dynamic,8,8,1270607,1.653000
dynamic,8,9,1270607,1.648000
dynamic,8,10,1270607,1.645000
guided,1,1,1270607,6.388000
guided,1,2,1270607,6.338000
guided,1,3,1270607,6.358000
guided,1,4,1270607,6.377000
guided,1,5,1270607,6.344000
guided,1,6,1270607,6.350000
guided,1,7,1270607,6.348000
guided,1,8,1270607,6.348000
guided,1,9,1270607,6.371000
guided,1,10,1270607,6.340000
guided,2,1,1270607,3.296000
guided,2,2,1270607,3.290000
guided,2,3,1270607,3.197000
guided,2,4,1270607,3.223000
guided,2,5,1270607,3.244000
guided,2,6,1270607,3.238000
guided,2,7,1270607,3.232000
guided,2,8,1270607,3.225000
guided,2,9,1270607,3.242000
guided,2,10,1270607,3.698000
guided,4,1,1270607,1.971000
guided,4,2,1270607,1.797000
guided,4,3,1270607,1.923000
guided,4,4,1270607,2.051000
guided,4,5,1270607,1.842000
guided,4,6,1270607,1.760000
guided,4,7,1270607,1.835000
guided,4,8,1270607,1.863000
guided,4,9,1270607,1.881000
guided,4,10,1270607,1.773000
guided,8,1,1270607,1.693000
guided,8,2,1270607,1.643000
guided,8,3,1270607,1.645000
guided,8,4,1270607,1.659000
guided,8,5,1270607,1.644000
guided,8,6,1270607,1.707000
guided,8,7,1270607,1.654000
guided,8,8,1270607,1.646000
guided,8,9,1270607,1.644000
guided,8,10,1270607,1.654000
