schedule,threads,chunk,rep,primos,tempo
static,8,100,1,1270607,2.155000
static,8,100,2,1270607,2.193000
static,8,100,3,1270607,2.116000
static,8,100,4,1270607,2.084000
static,8,100,5,1270607,2.056000
static,8,100,6,1270607,2.063000
static,8,100,7,1270607,2.075000
static,8,100,8,1270607,2.086000
static,8,100,9,1270607,2.096000
static,8,100,10,1270607,2.071000
static,8,1000,1,1270607,2.097000
static,8,1000,2,1270607,2.263000
static,8,1000,3,1270607,2.094000
static,8,1000,4,1270607,2.190000
static,8,1000,5,1270607,2.185000
static,8,1000,6,1270607,2.154000
static,8,1000,7,1270607,2.131000
static,8,1000,8,1270607,2.098000
static,8,1000,9,1270607,2.154000
static,8,1000,10,1270607,2.080000
static,8,10000,1,1270607,2.084000
static,8,10000,2,1270607,2.061000
static,8,10000,3,1270607,2.060000
static,8,10000,4,1270607,2.052000
static,8,10000,5,1270607,2.089000
static,8,10000,6,1270607,2.056000
static,8,10000,7,1270607,2.082000
static,8,10000,8,1270607,2.048000
static,8,10000,9,1270607,2.072000
static,8,10000,10,1270607,2.068000
static,8,100000,1,1270607,2.080000
static,8,100000,2,1270607,2.085000
static,8,100000,3,1270607,2.088000
static,8,100000,4,1270607,2.081000
static,8,100000,5,1270607,2.093000
static,8,100000,6,1270607,2.082000
static,8,100000,7,1270607,2.066000
static,8,100000,8,1270607,2.084000
static,8,100000,9,1270607,2.085000
static,8,100000,10,1270607,2.058000
static,8,2500000,1,1270607,2.403000
static,8,2500000,2,1270607,2.300000
static,8,2500000,3,1270607,2.292000
static,8,2500000,4,1270607,2.377000
static,8,2500000,5,1270607,2.327000
static,8,2500000,6,1270607,2.433000
static,8,2500000,7,1270607,2.464000
static,8,2500000,8,1270607,2.368000
static,8,2500000,9,1270607,2.330000
static,8,2500000,10,1270607,2.280000
dynamic,8,100,1,1270607,2.045000
dynamic,8,100,2,1270607,2.046000
dynamic,8,100,3,1270607,2.042000
dynamic,8,100,4,1270607,2.075000
dynamic,8,100,5,1270607,2.079000
dynamic,8,100,6,1270607,2.068000
dynamic,8,100,7,1270607,2.074000
dynamic,8,100,8,1270607,2.076000
